央視頻道,#genre#
CCTV4K,http://test.jdshipin.com:8880/ysp.php?id=cctv4k
CCTV8K,http://test.jdshipin.com:8880/ysp.php?id=cctv8k
1綜合,http://test.jdshipin.com:8880/ysp.php?id=cctv1
2財經,http://test.jdshipin.com:8880/ysp.php?id=cctv2
3綜藝,http://test.jdshipin.com:8880/ysp.php?id=cctv3
4中文國際,http://test.jdshipin.com:8880/ysp.php?id=cctv4
5體育,http://test.jdshipin.com:8880/ysp.php?id=cctv5
5+體育賽事,http://test.jdshipin.com:8880/ysp.php?id=cctv5p
6電影,http://test.jdshipin.com:8880/ysp.php?id=cctv6
7國防軍事,http://test.jdshipin.com:8880/ysp.php?id=cctv7
8電視劇,http://test.jdshipin.com:8880/ysp.php?id=cctv8
9紀錄,http://test.jdshipin.com:8880/ysp.php?id=cctv9
10科教,http://test.jdshipin.com:8880/ysp.php?id=cctv10
11戲曲,http://test.jdshipin.com:8880/ysp.php?id=cctv11
12社會與法,http://test.jdshipin.com:8880/ysp.php?id=cctv12
13新聞,http://test.jdshipin.com:8880/ysp.php?id=cctv13
14少兒,http://test.jdshipin.com:8880/ysp.php?id=cctv14
15音樂,http://test.jdshipin.com:8880/ysp.php?id=cctv15
16奧林匹克,http://test.jdshipin.com:8880/ysp.php?id=cctv16
17農業農村,http://test.jdshipin.com:8880/ysp.php?id=cctv17

衛視頻道,#genre#
江蘇衛視,http://test.jdshipin.com:8880/ysp.php?id=jsws
浙江衛視,http://test.jdshipin.com:8880/ysp.php?id=zjws
湖南衛視,http://test.jdshipin.com:8880/ysp.php?id=hunws
北京衛視,http://test.jdshipin.com:8880/ysp.php?id=bjws
東方衛視,http://test.jdshipin.com:8880/ysp.php?id=dfws
山東衛視,http://test.jdshipin.com:8880/ysp.php?id=sdws
天津衛視,http://test.jdshipin.com:8880/ysp.php?id=tjws
四川衛視,http://test.jdshipin.com:8880/ysp.php?id=scws
安徽衛視,http://test.jdshipin.com:8880/ysp.php?id=ahws
江西衛視,http://test.jdshipin.com:8880/ysp.php?id=jxws
東南衛視,http://test.jdshipin.com:8880/ysp.php?id=dnws
河北衛視,http://test.jdshipin.com:8880/ysp.php?id=hbws
河南衛視,http://test.jdshipin.com:8880/ysp.php?id=hnws
重慶衛視,http://test.jdshipin.com:8880/ysp.php?id=cqws
海南衛視,http://test.jdshipin.com:8880/ysp.php?id=hinws
深圳衛視,http://test.jdshipin.com:8880/ysp.php?id=szws
湖北衛視,http://test.jdshipin.com:8880/ysp.php?id=hubws
貴州衛視,http://test.jdshipin.com:8880/ysp.php?id=gzws
新疆衛視,http://test.jdshipin.com:8880/ysp.php?id=xjws
廣西衛視,http://test.jdshipin.com:8880/ysp.php?id=gxws
廣東衛視,http://test.jdshipin.com:8880/ysp.php?id=gdws
遼寧衛視,http://test.jdshipin.com:8880/ysp.php?id=lnws
黑龍江衛視,http://test.jdshipin.com:8880/ysp.php?id=hljws

數字頻道,#genre#
世界地理,http://test.jdshipin.com:8880/ysp.php?id=sjdl
第一劇場,http://test.jdshipin.com:8880/ysp.php?id=dyjc
風雲劇場,http://test.jdshipin.com:8880/ysp.php?id=fyjc
懷舊劇場,http://test.jdshipin.com:8880/ysp.php?id=hjjc
央視台球,http://test.jdshipin.com:8880/ysp.php?id=ystq
高爾夫網球,http://test.jdshipin.com:8880/ysp.php?id=gefwq
風雲音樂,http://test.jdshipin.com:8880/ysp.php?id=fyyy
風雲足球,http://test.jdshipin.com:8880/ysp.php?id=fyzq
兵器科技,http://test.jdshipin.com:8880/ysp.php?id=bqkj
衛生健康,http://test.jdshipin.com:8880/ysp.php?id=wsjk
女性時尚,http://test.jdshipin.com:8880/ysp.php?id=nxss
文化精品,http://test.jdshipin.com:8880/ysp.php?id=whjp
電視指南,http://test.jdshipin.com:8880/ysp.php?id=dszn

國際頻道,#genre#
CGTN,http://test.jdshipin.com:8880/ysp.php?id=cgtn
CGTN記錄,http://test.jdshipin.com:8880/ysp.php?id=cgtnjl
CGTN西語,http://test.jdshipin.com:8880/ysp.php?id=cgtne
CGTN法語,http://test.jdshipin.com:8880/ysp.php?id=cgtnf
CGTN阿語,http://test.jdshipin.com:8880/ysp.php?id=cgtna
CGTN俄語,http://test.jdshipin.com:8880/ysp.php?id=cgtnr
